# time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  final_nse_mass  
1.40601274122351e+00  2.70889309990553e+33  3.16403197777120e+41  -4.38929298456792e+37  0.00000000000000e+00  1.36459592363507e+51  6.41811929574942e+49  1.30041473067758e+51  -1.58864881056124e+51  -2.10302629795662e+52  5.14503621725049e+48  4.54046376588515e+32  4.41830382357936e+32  3.97096649975004e+32  3.87220876138940e+32  2.82185928719568e+32  0.00000000000000e+00  1.01900311041447e+32  1.09550711994320e+33  1.90619902213180e+33  2.14268808200239e+33  2.31259885950235e+33  2.47949338780358e+33  2.56453316816123e+33  2.65916899224636e+33  2.69646845153001e+33  3.75323858109773e+08  2.07038611629274e+06  -2.24052886926167e+50  2.24323789639457e+33  
1.45509544915748e+00  2.70889304797289e+33  3.86826934252356e+41  2.50610477963724e+37  0.00000000000000e+00  1.28901719918659e+51  8.05476219664372e+49  1.20846957722015e+51  -1.44511301719500e+51  -2.10984135147608e+52  4.78034917377703e+48  5.81810589797905e+32  5.58352584646429e+32  4.79131026389517e+32  5.24838727541986e+32  3.62407854066602e+32  0.00000000000000e+00  0.00000000000000e+00  7.99470527743849e+32  1.77599975199108e+33  2.06875645047010e+33  2.21162045139243e+33  2.38424966237017e+33  2.50796678499839e+33  2.64766669968547e+33  2.69404888268444e+33  2.93917149993471e+08  4.07249828211582e+06  -1.56095818008413e+50  2.10579673275170e+33  
1.52178516234553e+00  2.70889617771667e+33  4.99762203689343e+41  3.68625149149125e+38  0.00000000000000e+00  1.17488319562146e+51  1.12650634734518e+50  1.06223256088694e+51  -1.24425741941530e+51  -2.11852647929834e+52  4.52219774790841e+48  7.31243153104689e+32  6.88645243608784e+32  5.73509155096092e+32  6.73893134133522e+32  4.53724665558534e+32  0.00000000000000e+00  0.00000000000000e+00  4.02309700807569e+32  1.40160478251916e+33  1.72383986916841e+33  1.94496898242740e+33  2.20225426024962e+33  2.41218214956377e+33  2.62362873416390e+33  2.68977877261484e+33  1.93840498704486e+08  3.16234054317090e+06  -6.93742237938420e+49  1.83879489104517e+33  
1.49921960107973e+00  2.70890340973203e+33  5.20534739046123e+41  3.17552425927972e+37  0.00000000000000e+00  1.18120571015410e+51  1.12055335622327e+50  1.06915037453177e+51  -1.22453250170933e+51  -2.12116471256495e+52  5.07256693043711e+48  7.56655521643081e+32  7.36304910351425e+32  6.33594411327099e+32  7.13511717477420e+32  4.99267835733972e+32  0.00000000000000e+00  0.00000000000000e+00  3.20589136296628e+32  1.37400511150076e+33  1.76928277223732e+33  2.07029059777906e+33  2.34309347168482e+33  2.47769794756838e+33  2.62854524568133e+33  2.69014831117811e+33  1.81140765706616e+08  7.85068771935354e+06  -4.33267915552296e+49  1.78538494374755e+33  
1.44474514642127e+00  2.70783095840779e+33  5.36056031677694e+41  1.44578161404446e+38  0.00000000000000e+00  1.19726324129606e+51  1.17394055825362e+50  1.07986918547070e+51  -1.19538136421551e+51  -2.12485799890899e+52  5.65118478212056e+48  8.38780307241072e+32  8.08810293201715e+32  6.84276136110360e+32  7.30261799632593e+32  5.35679770252885e+32  0.00000000000000e+00  0.00000000000000e+00  2.25309040258520e+32  1.41484184447186e+33  1.82541852665227e+33  2.06196284755326e+33  2.32944351467622e+33  2.46106267966751e+33  2.62766400000109e+33  2.68997196328563e+33  1.61573994521640e+08  5.55484608946675e+06  1.88187708054639e+48  1.82925060923420e+33  
1.40338446089225e+00  2.70782408478600e+33  4.96831905992364e+41  9.19955598732286e+37  0.00000000000000e+00  1.18471197629984e+51  1.00475554309082e+50  1.08423642199075e+51  -1.24378762559158e+51  -2.11879317180040e+52  6.34526039414071e+48  7.34818010886220e+32  7.18131509725324e+32  6.30538814828861e+32  6.76184051209035e+32  4.74268744485973e+32  0.00000000000000e+00  0.00000000000000e+00  2.32139502457213e+32  1.52829749995110e+33  1.95812792408388e+33  2.16779882201191e+33  2.37587402672854e+33  2.49066037493775e+33  2.63410593396308e+33  2.69026485566474e+33  1.73543753022748e+08  6.73523235668401e+06  -5.90756492917411e+49  1.79306271054321e+33  
1.28592165329383e+00  2.70782031995924e+33  4.27351388666292e+41  9.88466017657859e+37  0.00000000000000e+00  1.32785630670760e+51  8.86285009885854e+49  1.23922780571901e+51  -1.40663691949584e+51  -2.11685148911348e+52  6.62825435640818e+48  7.21149273342531e+32  7.02622960173255e+32  6.36899787973798e+32  5.81571223080892e+32  4.76428421921405e+32  0.00000000000000e+00  0.00000000000000e+00  5.84539185706015e+32  1.91332311056489e+33  2.17004918562553e+33  2.29596113776703e+33  2.42945810959444e+33  2.51906751091871e+33  2.64120448261988e+33  2.69026236797611e+33  2.44666577556961e+08  2.81565767341122e+06  -7.87806127882383e+49  2.13152551762621e+33  
1.42840524480455e+00  2.70780919230962e+33  3.12693460778263e+41  4.51463036095051e+38  0.00000000000000e+00  1.32306098973805e+51  6.26709550706480e+49  1.26039003466740e+51  -1.54833941424668e+51  -2.10189800961527e+52  3.74210739457808e+48  4.62083869380202e+32  4.37521783544695e+32  3.67595236602595e+32  4.13982611896632e+32  2.76944262303057e+32  0.00000000000000e+00  5.89993390448348e+31  1.00916044466855e+33  1.89775187657255e+33  2.12992426161118e+33  2.24180191687511e+33  2.39752741226824e+33  2.51966251156513e+33  2.65120395938902e+33  2.69401247495379e+33  3.51472811746995e+08  3.56673832886849e+06  -2.25278424508629e+50  2.16676778804355e+33  
1.39872263642694e+00  2.70781671834604e+33  3.69792266287035e+41  1.47900105027966e+38  0.00000000000000e+00  1.31498354077551e+51  8.02869604284117e+49  1.23469658034710e+51  -1.46516575643862e+51  -2.10941640992976e+52  3.66396315603382e+48  5.97735734061728e+32  5.56051272042893e+32  4.50088669581370e+32  5.01159148864146e+32  3.54263331879084e+32  0.00000000000000e+00  4.43051395130432e+30  8.82666362200063e+32  1.74812984975661e+33  1.98951199693931e+33  2.16798220563458e+33  2.39305105113986e+33  2.51868228404706e+33  2.64571804279613e+33  2.69511344499555e+33  3.07466602548174e+08  5.08297917665617e+06  -1.50182215663109e+50  2.11429466324482e+33  
1.47881264384699e+00  2.70781695608545e+33  4.69655301697409e+41  1.73419017098624e+38  0.00000000000000e+00  1.17154136281554e+51  9.89559125680915e+49  1.07258545024745e+51  -1.25962846436446e+51  -2.11565948027635e+52  3.83751871229805e+48  6.91261616352662e+32  6.56447574882796e+32  5.45991198209788e+32  6.45548693240270e+32  4.39627909426494e+32  0.00000000000000e+00  0.00000000000000e+00  4.57905830682383e+32  1.41896267357527e+33  1.81606626632430e+33  2.02052575448982e+33  2.26957927292108e+33  2.42757699625535e+33  2.62216245099837e+33  2.68863081177308e+33  1.99744923759805e+08  2.57357802389344e+06  -8.80871015489248e+49  1.88637256916447e+33  
