----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
5  0.00000000000000e+00  2.69863139315693e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699106384083e+51  0.00000000000000e+00  2.07699106384083e+51  -2.54597885098437e+51  -2.04604902412898e+52  0.00000000000000e+00  1.68529882131513e+31  1.68529882131513e+31  1.68529882131513e+31  1.68529882131513e+31  1.55676779467425e+31  2.21476667899989e+32  1.38738156060670e+33  2.09938546244740e+33  2.48739544615191e+33  2.55591674348728e+33  2.59194830581700e+33  2.63004983549739e+33  2.65281448174163e+33  2.68225310917753e+33  2.69489631455183e+33  1.38951022152567e+09  1.22714751387892e+09  -4.68987787143534e+50  
5  4.00034816795915e+00  2.69714653404235e+33  1.99108377103190e+42  1.99105512521487e+39  0.00000000000000e+00  1.46479683160801e+51  1.39539838939806e+51  6.93984422099563e+49  -9.35104527280037e+49  -2.23092613531539e+52  8.44923425239169e+48  2.68518223849270e+33  2.53810101355062e+33  2.24063002892838e+33  6.50287090602354e+32  1.93216896339297e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  6.50131129365867e+04  4.01476962401227e+03  1.37128637888000e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
6  0.00000000000000e+00  2.69873144510036e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07700314277849e+51  0.00000000000000e+00  2.07700314277849e+51  -2.54624470220998e+51  -2.04610752021199e+52  0.00000000000000e+00  1.63878997266677e+31  1.63878997266677e+31  1.63878997266677e+31  1.63878997266677e+31  1.51380599061469e+31  2.21576719843421e+32  1.38748161255014e+33  2.09948551439083e+33  2.48749549809534e+33  2.55601679543071e+33  2.59204835776043e+33  2.63014988744082e+33  2.65291453368506e+33  2.68235316112096e+33  2.69499636649526e+33  1.37762087567668e+09  1.24506306762401e+09  -4.69241559431496e+50  
6  4.00028199469207e+00  2.69816017084939e+33  1.99699453431023e+42  9.46848670148258e+38  0.00000000000000e+00  1.50576420949108e+51  1.44169268602849e+51  6.40715234625868e+49  -9.26734960710473e+49  -2.23532454536266e+52  8.32194922596429e+48  2.69027449408239e+33  2.57438814653671e+33  2.36333028698333e+33  5.73278719213431e+32  2.04802002412131e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  5.68528126061064e+04  3.95585250104999e+01  1.41309071342003e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
7  0.00000000000000e+00  2.69867583057767e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699648390579e+51  0.00000000000000e+00  2.07699648390579e+51  -2.54609687064723e+51  -2.04607501562824e+52  0.00000000000000e+00  1.66467550197068e+31  1.66467550197068e+31  1.66467550197068e+31  1.66467550197068e+31  1.53771733373009e+31  2.21521105320727e+32  1.38742599802744e+33  2.09942989986813e+33  2.48743988357265e+33  2.55596118090802e+33  2.59199274323774e+33  2.63009427291813e+33  2.65285891916236e+33  2.68229754659826e+33  2.69494075197256e+33  1.38572769193601e+09  1.23292662906912e+09  -4.69100386741449e+50  
