# time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  final_nse_mass  
1.39234929486262e+00  2.69865415316481e+33  3.45191251272164e+41  -2.12370545033424e+38  0.00000000000000e+00  1.13035152414294e+51  6.07582931663410e+49  1.06959323097660e+51  -1.32794204784919e+51  -2.07391417647407e+52  7.17858612885959e+48  4.22852011404329e+32  4.19814700747339e+32  3.79376197587185e+32  3.89410284244025e+32  2.35528462657651e+32  0.00000000000000e+00  0.00000000000000e+00  4.91000989010388e+32  1.66288011395621e+33  2.03062566692624e+33  2.20951104695255e+33  2.38477467874015e+33  2.49268518917981e+33  2.62495156938280e+33  2.68068897560554e+33  2.08176515990912e+08  7.02298345384693e+06  -1.97590523706258e+50  2.25310314903733e+33  
1.25228392034143e+00  2.69868113647041e+33  2.65538999371909e+41  -3.18675598419809e+37  0.00000000000000e+00  1.32521022021661e+51  5.04936612878915e+49  1.27471655892872e+51  -1.55603785348103e+51  -2.07061118321800e+52  6.82302347201110e+48  3.96920527712807e+32  3.82200204528191e+32  3.39215198873338e+32  2.87250564418357e+32  2.06489905110733e+32  0.00000000000000e+00  2.20955725048415e+31  9.83687638008389e+32  2.02899123205741e+33  2.21890586920417e+33  2.32991810465771e+33  2.44836590107723e+33  2.52813907080791e+33  2.63135568806003e+33  2.68359233819886e+33  3.23797486112641e+08  3.93273883490008e+06  -2.30827633264422e+50  2.44081933790507e+33  
1.50157012964104e+00  2.69866778249737e+33  4.34145796497999e+41  4.68227151566286e+37  0.00000000000000e+00  9.94519010046604e+50  7.77098943073268e+49  9.16809115739277e+50  -1.13027200681946e+51  -2.08021094478801e+52  8.21223896231740e+48  5.01340718244348e+32  4.96337384425017e+32  4.49515232872752e+32  4.74747022682821e+32  2.81624445221079e+32  0.00000000000000e+00  0.00000000000000e+00  2.07262788513069e+31  1.24354909017262e+33  1.72932657395523e+33  2.00712292789080e+33  2.26555059419118e+33  2.41016562329846e+33  2.59184414229269e+33  2.67272473042311e+33  1.13590252721452e+08  8.01894240856916e+06  -1.35752996772854e+50  2.04425404871580e+33  
1.47850588592449e+00  2.69869773446395e+33  3.68849830867213e+41  -1.86002140360088e+38  0.00000000000000e+00  1.04558275646655e+51  6.93705751884019e+49  9.76212181278150e+50  -1.23322670451068e+51  -2.07499127387918e+52  7.65949043037444e+48  4.28059587193507e+32  4.20773406946933e+32  3.78480880158126e+32  4.15470598083589e+32  2.27929931010502e+32  0.00000000000000e+00  0.00000000000000e+00  2.98579990239536e+32  1.41727634997281e+33  1.81232352493208e+33  2.08413420371805e+33  2.33233044673444e+33  2.45730268803240e+33  2.61108069207059e+33  2.67792790753673e+33  1.69165363357433e+08  8.54577071259574e+06  -1.87643948044129e+50  2.15913387817501e+33  
1.48720360446411e+00  2.69870537526891e+33  4.04001630919852e+41  -1.32368172010391e+38  0.00000000000000e+00  9.87148903217967e+50  7.20787818764854e+49  9.15070121341482e+50  -1.15952073052381e+51  -2.07657163285365e+52  8.04338379600738e+48  4.41753803065772e+32  4.36801464196733e+32  4.01028596239760e+32  4.28549571542406e+32  2.40515969772859e+32  0.00000000000000e+00  0.00000000000000e+00  1.51859223775905e+32  1.36000340548070e+33  1.75543062433453e+33  2.00655438359829e+33  2.27575037728992e+33  2.41372087415089e+33  2.59354874881514e+33  2.67426748939132e+33  1.35945006561869e+08  9.01463660757226e+06  -1.72371827305838e+50  2.13026355169867e+33  
1.46505408584414e+00  2.69867393376719e+33  4.07520633124559e+41  -3.31368153181937e+36  0.00000000000000e+00  1.02068803900434e+51  7.25989373397802e+49  9.48089101664558e+50  -1.17563415641612e+51  -2.07831223733093e+52  8.29774339056414e+48  4.77531291829761e+32  4.72297086803694e+32  4.30375846030568e+32  4.46066684660609e+32  2.63314595804881e+32  0.00000000000000e+00  0.00000000000000e+00  9.28821809043164e+31  1.41910597377089e+33  1.79675757112988e+33  2.03362203287910e+33  2.29331888866053e+33  2.43129049628058e+33  2.60057308592080e+33  2.67541894814933e+33  1.32666886990990e+08  7.02160792846492e+06  -1.54946117411785e+50  2.14787853782093e+33  
1.46043983452333e+00  2.69863357832795e+33  3.80882367109776e+41  -2.10423850446463e+38  0.00000000000000e+00  1.02773729225835e+51  7.91483891619993e+49  9.48588903096347e+50  -1.21143356908904e+51  -2.07532334564712e+52  7.55012110942636e+48  4.24691075642461e+32  4.13688875808814e+32  3.62194730803216e+32  4.12226193619558e+32  2.14071974006903e+32  0.00000000000000e+00  0.00000000000000e+00  3.56653780980393e+32  1.28443594068043e+33  1.67762838330268e+33  1.96539608354565e+33  2.29169446913812e+33  2.43478164080252e+33  2.60643298056270e+33  2.67760440177425e+33  1.72734500045809e+08  9.38017824838649e+06  -1.83696276830696e+50  2.13429752557348e+33  
1.50562931362207e+00  2.69873649490566e+33  3.89473696996674e+41  -7.67042475895511e+37  0.00000000000000e+00  1.01281756049810e+51  7.15174246607696e+49  9.41300135837332e+50  -1.18907562077635e+51  -2.07619436888796e+52  7.89079914092868e+48  4.40463431130497e+32  4.33433258669279e+32  3.93609820877076e+32  4.27852567571916e+32  2.36647586093340e+32  0.00000000000000e+00  0.00000000000000e+00  2.05471997082488e+32  1.37246584891090e+33  1.78617398633370e+33  2.02589942181064e+33  2.29586180714264e+33  2.43576039851613e+33  2.60335979405428e+33  2.67608494746972e+33  1.45488221404672e+08  8.18476598039853e+06  -1.76258060278252e+50  2.12064014502744e+33  
1.35800211378528e+00  2.69852280468399e+33  4.03446836240530e+41  1.28698397489957e+38  0.00000000000000e+00  1.03631855444784e+51  6.88086447805096e+49  9.67509909667329e+50  -1.20804256879714e+51  -2.07654221349461e+52  8.67408286076175e+48  4.55326093688653e+32  4.51403272085639e+32  4.16688278322590e+32  4.24611497514951e+32  2.43938295971128e+32  0.00000000000000e+00  0.00000000000000e+00  1.35170341503256e+32  1.56705725164802e+33  1.90979919630230e+33  2.09519958102226e+33  2.31245722994877e+33  2.44314165101894e+33  2.60204355044497e+33  2.67525272933321e+33  1.40911180313331e+08  7.45753546703944e+06  -1.71724014349303e+50  2.11267523278932e+33  
1.49884349546280e+00  2.69868782169644e+33  4.04562575499187e+41  -1.53028972610546e+38  0.00000000000000e+00  1.00060705203416e+51  7.50014982870092e+49  9.25605553747150e+50  -1.16030424699375e+51  -2.07780268566046e+52  7.91588496780092e+48  4.64530512151827e+32  4.56906254688938e+32  4.07644239451030e+32  4.46452200029353e+32  2.48956501262984e+32  0.00000000000000e+00  0.00000000000000e+00  1.11655453539577e+32  1.28804796560672e+33  1.72157337004989e+33  1.98921424601005e+33  2.28160852338394e+33  2.42035893968108e+33  2.59584083764610e+33  2.67428643569438e+33  1.30335429896425e+08  7.63397187251912e+06  -1.59697194959593e+50  2.12046355328614e+33  
